iter	Passed	Remaining
0	3	334
1	4	235
2	6	195
3	6	165
4	8	153
5	9	142
6	10	136
7	11	131
8	12	126
9	13	123
10	15	125
11	16	123
12	18	122
13	19	119
14	20	117
15	21	114
16	22	111
17	23	108
18	25	106
19	26	104
20	27	101
21	28	100
22	29	99
23	31	98
24	32	98
25	34	97
26	35	96
27	36	94
28	37	92
29	39	91
30	40	89
31	41	87
32	42	86
33	44	85
34	45	84
35	46	82
36	47	81
37	49	80
38	50	78
39	51	77
40	52	75
41	52	73
42	54	71
43	55	70
44	56	69
45	57	67
46	59	66
47	60	65
48	61	64
49	62	62
50	64	61
51	65	60
52	66	58
53	67	57
54	68	55
55	69	54
56	70	53
57	71	51
58	72	50
59	74	49
60	75	48
61	76	47
62	78	45
63	79	44
64	80	43
65	81	42
66	82	40
67	83	39
68	84	38
69	86	36
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	93	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	23
81	100	21
82	101	20
83	102	19
84	103	18
85	104	17
86	106	15
87	107	14
88	108	13
89	109	12
90	110	10
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	120	1
99	121	0
