iter	Passed	Remaining
0	163	162988
1	164	81941
2	164	54808
3	165	41233
4	166	33101
5	167	27670
6	167	23805
7	168	20914
8	169	18648
9	170	16835
10	170	15352
11	171	14113
12	172	13070
13	172	12174
14	173	11396
15	174	10713
16	174	10110
17	175	9580
18	176	9105
19	177	8674
20	177	8289
21	178	7940
22	179	7617
23	180	7320
24	180	7050
25	181	6805
26	182	6576
27	183	6357
28	183	6154
29	184	5964
30	185	5786
31	185	5619
32	186	5463
33	187	5315
34	187	5176
35	188	5045
36	189	4922
37	189	4809
38	190	4698
39	191	4591
40	192	4494
41	193	4402
42	193	4310
43	194	4224
44	195	4141
45	196	4065
46	196	3989
47	197	3915
48	198	3845
49	198	3776
50	199	3711
51	200	3648
52	200	3587
53	201	3528
54	202	3472
55	202	3420
56	203	3369
57	204	3319
58	205	3270
59	205	3222
60	206	3178
61	207	3134
62	207	3091
63	208	3050
64	209	3012
65	210	2975
66	210	2938
67	211	2900
68	212	2864
69	212	2829
70	213	2794
71	214	2761
72	214	2729
73	215	2697
74	216	2666
75	216	2638
76	217	2610
77	218	2581
78	219	2553
79	219	2526
80	220	2500
81	221	2475
82	221	2446
83	222	2422
84	222	2399
85	223	2377
86	224	2356
87	225	2334
88	225	2312
89	226	2291
90	227	2269
91	227	2249
92	228	2229
93	229	2209
94	229	2189
95	230	2170
96	231	2152
97	232	2136
98	232	2118
99	233	2100
100	234	2083
101	234	2066
102	235	2049
103	236	2033
104	236	2018
105	237	2003
106	238	1992
107	239	1978
108	240	1964
109	241	1950
110	241	1935
111	242	1921
112	242	1907
113	243	1893
114	244	1879
115	244	1866
116	245	1852
117	246	1840
118	246	1828
119	247	1816
120	248	1804
121	248	1791
122	249	1779
123	250	1767
124	250	1756
125	251	1746
126	252	1734
127	253	1724
128	253	1714
129	254	1703
130	255	1693
131	256	1683
132	256	1673
133	257	1663
134	258	1653
135	258	1643
136	259	1633
137	259	1623
138	260	1613
139	261	1604
140	261	1595
141	262	1584
142	262	1576
143	263	1567
144	264	1558
145	264	1549
146	265	1541
147	266	1532
148	267	1525
149	267	1518
150	268	1510
151	269	1502
152	270	1495
153	270	1487
154	271	1480
155	272	1472
156	272	1465
157	273	1457
158	274	1450
159	274	1443
160	275	1435
161	276	1427
162	276	1420
163	277	1413
164	278	1406
165	278	1400
166	279	1393
167	279	1386
168	280	1379
169	282	1377
170	283	1372
171	284	1367
172	284	1361
173	285	1354
174	286	1348
175	286	1342
176	287	1335
177	287	1329
178	288	1323
179	289	1317
180	289	1311
181	290	1305
182	291	1300
183	292	1295
184	292	1290
185	293	1285
186	294	1280
187	295	1276
188	296	1270
189	296	1265
190	297	1260
191	298	1254
192	298	1249
193	299	1244
194	300	1239
195	300	1234
196	301	1229
197	302	1224
198	302	1219
199	303	1214
200	304	1209
201	304	1204
202	305	1199
203	306	1194
204	307	1190
205	307	1186
206	308	1182
207	309	1178
208	310	1174
209	310	1169
210	311	1165
211	312	1160
212	312	1156
213	313	1151
214	314	1147
215	314	1142
216	315	1138
217	316	1133
218	316	1129
219	317	1125
220	318	1121
221	318	1117
222	319	1113
223	320	1108
224	320	1104
225	321	1100
226	322	1096
227	322	1092
228	323	1090
229	324	1086
230	325	1082
231	326	1080
232	327	1076
233	327	1072
234	328	1069
235	329	1065
236	329	1061
237	330	1058
238	331	1054
239	331	1050
240	332	1047
241	333	1043
242	333	1039
243	334	1036
244	335	1032
245	335	1029
246	336	1025
247	337	1022
248	337	1018
249	338	1016
250	339	1013
251	340	1009
252	340	1006
253	341	1002
254	342	999
255	342	996
256	343	993
257	344	990
258	345	987
259	345	984
260	346	981
261	347	978
262	347	974
263	348	971
264	349	968
265	349	965
266	350	962
267	351	960
268	352	957
269	352	954
270	353	951
271	354	948
272	355	945
273	355	943
274	356	940
275	357	937
276	358	934
277	359	932
278	359	929
279	360	926
280	360	923
281	361	920
282	362	917
283	362	914
284	363	912
285	364	909
286	364	906
287	366	905
288	367	903
289	367	900
290	368	898
291	369	896
292	370	894
293	371	892
294	372	891
295	373	888
296	374	886
297	375	883
298	375	881
299	376	879
300	377	876
301	378	874
302	379	873
303	380	871
304	381	870
305	382	868
306	383	866
307	384	864
308	385	862
309	386	860
310	387	858
311	388	856
312	389	854
313	389	852
314	390	849
315	391	847
316	392	845
317	393	843
318	394	841
319	394	839
320	395	837
321	396	834
322	397	832
323	398	830
324	398	828
325	399	826
326	400	824
327	401	823
328	403	822
329	403	820
330	404	818
331	405	816
332	406	813
333	407	811
334	407	809
335	408	807
336	409	806
337	410	803
338	411	801
339	412	799
340	413	798
341	414	797
342	415	796
343	416	794
344	417	792
345	418	791
346	419	789
347	420	787
348	420	784
349	421	783
350	422	781
351	423	779
352	424	777
353	425	775
354	425	773
355	426	772
356	427	770
357	428	768
358	429	767
359	430	765
360	431	763
361	432	762
362	433	761
363	434	759
364	435	757
365	436	755
366	437	754
367	438	752
368	439	750
369	439	748
370	440	746
371	441	745
372	442	743
373	443	741
374	444	740
375	445	739
376	446	737
377	447	735
378	447	734
379	448	732
380	449	730
381	450	728
382	451	726
383	452	726
384	453	724
385	454	723
386	455	721
387	456	719
388	457	717
389	457	716
390	459	715
391	460	714
392	461	712
393	462	710
394	463	709
395	463	707
396	464	705
397	465	703
398	465	701
399	467	700
400	467	698
401	468	697
402	469	695
403	470	693
404	470	691
405	471	690
406	472	688
407	473	687
408	474	685
409	475	684
410	476	682
411	477	681
412	478	680
413	479	678
414	480	677
415	481	675
416	482	674
417	483	672
418	484	671
419	484	669
420	485	668
421	486	666
422	487	665
423	489	664
424	490	663
425	491	661
426	492	660
427	493	659
428	494	657
429	495	656
430	496	655
431	497	654
432	498	652
